,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
20,12500,8055,4445,3222,2416,1755,662,8055.0,4970,4634,1120,466,439,108,816,735,182,779,737,168,12,3,0,2897,2720,662,1776,471.3822655585918,1093.769803333596,360.0,639.1784904224893,1027.3210312149897,1268.7755766695896,1328.9573948514283,444.4967541108584,443.48982770393195,444.9030308939597,322.1716458857471,126,35,21,34,1,0
21,12500,7767,4733,3107,2330,2103,227,,5169,2901,512,1149,697,116,743,411,71,921,519,97,4,4,1,2352,1270,227,3918,586.0659166217044,1262.596375010391,360.0,1000.9687549133755,1227.6051185497968,,,526.9820820162246,526.7041599383025,527.4147659989085,503.7617356958776,121,25,40,31,1,709
22,12500,8075,4425,3230,2422,1630,793,8075.0,5512,4602,1267,870,737,200,1006,910,222,229,196,52,1,2,0,3406,2757,793,1119,502.48080045917607,1154.8745309733363,360.0,846.040314557847,1085.5394987070104,1318.5394987070608,1390.7213168889036,487.3125170574966,487.556456451436,486.8982313432109,436.630698875677,127,43,37,10,1,0
23,12500,8547,3953,3419,2564,2089,475,,4865,2687,880,1009,576,163,550,281,115,706,399,126,14,13,1,2586,1418,475,4068,529.5772194664544,1234.4285819304823,360.0,899.3464409701756,1162.3534339771888,,,464.8371807058745,464.8538473725412,465.0793884980824,463.69389066258447,134,19,35,25,1,642
24,12500,9068,3432,3627,2720,2168,553,9068.0,4348,2861,960,578,430,150,687,441,144,530,348,112,4,7,1,2549,1635,553,4331,461.9655361882403,1134.2365707631127,360.0,650.5319785690803,1076.9122815993594,1346.8213725085175,1397.0031906903528,379.83569803428094,380.596304094887,380.8575595061424,340.51058980917156,141,26,24,20,1,0
25,12500,8116,4384,3246,2435,1883,552,8116.0,5296,3121,1014,893,540,183,933,543,180,633,379,99,1,0,0,2836,1659,552,3069,510.96355421678464,1170.4748420385388,360.0,856.6307888436583,1103.5985044613594,1356.5075953705086,1406.689413552344,462.5111245714503,462.00939296971865,462.4593929697187,127.50484751516503,126,34,33,23,1,0
26,12500,8737,3763,3495,2621,2099,522,,3624,3400,1022,721,662,196,580,538,178,410,351,126,0,1,0,1913,1848,522,4454,484.0835961641802,1171.4216573083409,360.0,840.4829558639906,1097.066161527476,1377.7934342548137,,398.49117991638906,398.4554656306748,397.5533011285102,282.14421021941604,137,26,32,18,1,167
27,12500,8139,4361,3256,2442,1966,475,8139.0,4894,3764,896,713,565,149,682,514,141,822,636,131,4,4,0,2673,2045,475,2946,503.87722798797716,1155.4666897566797,360.0,848.9720624480404,1095.4867503185308,1349.0322048640462,1392.12311395497,457.57974759603815,457.7494445657351,457.4249856912762,436.1585354748254,128,27,29,32,1,0
28,12500,7189,5311,2876,2157,1792,364,,3768,3525,1008,896,810,237,489,457,138,1041,963,269,5,6,0,1337,1289,364,4199,600.7840835949914,1315.1033392478928,360.0,1005.6567426543506,1216.656742654406,,,534.1624545217585,533.9185151278191,534.2648354741394,521.4185151278188,113,22,39,46,1,1119
29,12500,8345,4155,3338,2504,2212,291,,4318,3680,561,950,794,107,703,594,97,426,398,65,13,7,1,2226,1887,291,3941,523.4720466074474,1171.6962262113384,360.0,881.3259835060712,1138.7805289606235,1387.689619869783,,460.6251723185138,462.1297177730593,461.73274807608965,457.8017956951371,131,28,38,18,1,47
